MaGV,HoGV,TenDemGV,TenGV,GioiTinh,Email,SDT
12340040,Trần,Thị,Thảo,Nam       ,thao.tranthi@hust.edu.vn                                                                            ,98765040
12340041,Lý,Quỳnh,Loan,Nữ        ,loan.lyquynh@hust.edu.vn                                                                            ,98765041
12340042,Hoàng,Hồng,Trầm,Nam       ,tram.hoanghong@hust.edu.vn                                                                          ,98765042
12340043,Lý,Hải,Nguyết,Nam       ,nguyet.lyhai@hust.edu.vn                                                                            ,98765043
12340044,Bùi,Hải,Thiện,Nữ        ,thien.buihai@hust.edu.vn                                                                            ,98765044
12340045,Đỗ,Hải,Nhung,Nữ        ,nhung.dohai@hust.edu.vn                                                                             ,98765045
12340046,Hoàng,Quỳnh,Hàm,Nữ        ,ham.hoangquynh@hust.edu.vn                                                                          ,98765046
12340047,Vũ,Thu,Đoan,Nam       ,doan.vuthu@hust.edu.vn                                                                              ,98765047
12340048,Lê,Minh,Hồ,Nam       ,ho.leminh@hust.edu.vn                                                                               ,98765048
12340049,Vũ,Tâm,Trinh,Nữ        ,trinh.vutam@hust.edu.vn                                                                             ,98765049
12340050,Trần,Thành,Hoa,Nữ        ,hoa.tranthanh@hust.edu.vn                                                                           ,98765050
12340051,Phan,Hồng,Bằng,Nam       ,bang.phanhong@hust.edu.vn                                                                           ,98765051
12340052,Lý,Tâm,Trúc,Nam       ,truc.lytam@hust.edu.vn                                                                              ,98765052
12340053,Nguyễn,Minh,Khuyên,Nam       ,khuyen.nguyenminh@hust.edu.vn                                                                       ,98765053
12340054,Lê,Minh,Mai,Nữ        ,mai.leminh@hust.edu.vn                                                                              ,98765054
12340055,Nguyễn,Lan,Bình,Nam       ,binh.nguyenlan@hust.edu.vn                                                                          ,98765055
12340056,Hồ,Thành,Đào,Nữ        ,dao.hothanh@hust.edu.vn                                                                             ,98765056
12340057,Đinh,Đức,Loan,Nam       ,loan.dinhduc@hust.edu.vn                                                                            ,98765057
12340058,Nguyễn,Hải,Mậu,Nữ        ,mau.nguyenhai@hust.edu.vn                                                                           ,98765058
12340059,Lý,Bình,Trinh,Nữ        ,trinh.lybinh@hust.edu.vn                                                                            ,98765059
12340060,Phan,Minh,Xuân,Nữ        ,xuan.phanminh@hust.edu.vn                                                                           ,98765060
12340061,Hoàng,Duy,Lan,Nam       ,lan.hoangduy@hust.edu.vn                                                                            ,98765061
12340062,Hồ,Bình,Bạch,Nữ        ,bach.hobinh@hust.edu.vn                                                                             ,98765062
12340063,Võ,Hải,Nhơn,Nữ        ,nhon.vohai@hust.edu.vn                                                                              ,98765063
12340064,Lý,Tâm,Tú,Nữ        ,tu.lytam@hust.edu.vn                                                                                ,98765064
12340065,Nguyễn,Thành,Hoàn,Nam       ,hoan.nguyenthanh@hust.edu.vn                                                                        ,98765065
12340066,Vũ,Đức,Tinh,Nữ        ,tinh.vuduc@hust.edu.vn                                                                              ,98765066
12340067,Nguyễn,Văn,Họa,Nam       ,hoa.nguyenvan@hust.edu.vn                                                                           ,98765067
12340068,Lý,Văn,Vinh,Nữ        ,vinh.lyvan@hust.edu.vn                                                                              ,98765068
12340069,Đặng,Thị,Linh,Nữ        ,linh.dangthi@hust.edu.vn                                                                            ,98765069
12340070,Lý,Văn,Nhân,Nữ        ,nhan.lyvan@hust.edu.vn                                                                              ,98765070
12340071,Ngô,Thành,Khôi,Nữ        ,khoi.ngothanh@hust.edu.vn                                                                           ,98765071
12340072,Hoàng,Duy,Thêu,Nam       ,theu.hoangduy@hust.edu.vn                                                                           ,98765072
12340073,Hồ,Thị,Dung,Nam       ,dung.hothi@hust.edu.vn                                                                              ,98765073
12340074,Huỳnh,Quỳnh,Hoài,Nữ        ,hoai.huynhquynh@hust.edu.vn                                                                         ,98765074
12340075,Hồ,Duy,Diên,Nữ        ,dien.hoduy@hust.edu.vn                                                                              ,98765075
12340076,Vũ,Thị,Bích,Nam       ,bich.vuthi@hust.edu.vn                                                                              ,98765076
12340077,Lý,Hồng,Ty,Nam       ,ty.lyhong@hust.edu.vn                                                                               ,98765077
12340078,Phan,Lan,Nhung,Nữ        ,nhung.phanlan@hust.edu.vn                                                                           ,98765078
12340079,Hồ,Đức,Khả,Nam       ,kha.hoduc@hust.edu.vn                                                                               ,98765079
12340080,Phan,Thu,Đan,Nam       ,dan.phanthu@hust.edu.vn                                                                             ,98765080
12340081,Hồ,Văn,Tinh,Nữ        ,tinh.hovan@hust.edu.vn                                                                              ,98765081
12340082,Võ,Văn,Dung,Nam       ,dung.vovan@hust.edu.vn                                                                              ,98765082
12340083,Trần,Duy,Khanh,Nữ        ,khanh.tranduy@hust.edu.vn                                                                           ,98765083
12340084,Lý,Thành,Hạ,Nữ        ,ha.lythanh@hust.edu.vn                                                                              ,98765084
12340085,Trần,Tâm,Giang,Nam       ,giang.trantam@hust.edu.vn                                                                           ,98765085
12340086,Đặng,Hồng,Đăng,Nữ        ,dang.danghong@hust.edu.vn                                                                           ,98765086
12340087,Phan,Bình,Thủy,Nữ        ,thuy.phanbinh@hust.edu.vn                                                                           ,98765087
12340088,Lý,Thị,Ðiệp,Nam       ,ðiep.lythi@hust.edu.vn                                                                              ,98765088
12340089,Bùi,Duy,Băng,Nữ        ,bang.buiduy@hust.edu.vn                                                                             ,98765089
12340090,Hồ,Văn,Lưu,Nam       ,luu.hovan@hust.edu.vn                                                                               ,98765090
12340091,Hoàng,Thành,Vỹ,Nữ        ,vy.hoangthanh@hust.edu.vn                                                                           ,98765091
12340092,Lý,Thu,Mộc,Nữ        ,moc.lythu@hust.edu.vn                                                                               ,98765092
12340093,Nguyễn,Đức,Quân,Nam       ,quan.nguyenduc@hust.edu.vn                                                                          ,98765093
12340094,Võ,Tâm,Mai,Nam       ,mai.votam@hust.edu.vn                                                                               ,98765094
12340095,Đinh,Thu,Khánh,Nữ        ,khanh.dinhthu@hust.edu.vn                                                                           ,98765095
12340096,Vũ,Văn,Hiền,Nam       ,hien.vuvan@hust.edu.vn                                                                              ,98765096
12340097,Huỳnh,Thị,Phương,Nam       ,phuong.huynhthi@hust.edu.vn                                                                         ,98765097
12340098,Ngô,Thành,Thu,Nữ        ,thu.ngothanh@hust.edu.vn                                                                            ,98765098
12340099,Phạm,Duy,Diệp,Nam       ,diep.phamduy@hust.edu.vn                                                                            ,98765099
12340100,Phạm,Thị,Thông,Nữ        ,thong.phamthi@hust.edu.vn                                                                           ,98765100
