MaSV,HoSV,TenDemSV,TenSV,NgaySinh,DiaDiem,GioiTinh,CCCD,Email,SDT
20210042,Lý,Minh,Ngôn,2003-04-07,Hà Tĩnh                                                                                             ,Nữ        ,40204010042,ngon.ly210042@sis.hust.edu.vn                                                                       ,12345042
20210043,Phan,Hồng,Liễu,2003-06-17,Hà Nội                                                                                              ,Nam       ,40204010043,lieu.phan210043@sis.hust.edu.vn                                                                     ,12345043
20210044,Dương,Đức,Hiệp,2003-04-15,Bình Thuận                                                                                          ,Nữ        ,40204010044,hiep.duong210044@sis.hust.edu.vn                                                                    ,12345044
20210045,Trần,Hồng,Thục,2003-05-06,Quảng Ninh                                                                                          ,Nữ        ,40204010045,thuc.tran210045@sis.hust.edu.vn                                                                     ,12345045
20210046,Dương,Duy,Lâm,2003-09-22,Quảng Ninh                                                                                          ,Nữ        ,40204010046,lam.duong210046@sis.hust.edu.vn                                                                     ,12345046
20210047,Đặng,Tâm,Mỹ,2003-11-07,Hải Phòng                                                                                           ,Nữ        ,40204010047,my.dang210047@sis.hust.edu.vn                                                                       ,12345047
20210048,Lý,Hồng,Hồng,2003-01-28,Thanh Hóa                                                                                           ,Nam       ,40204010048,hong.ly210048@sis.hust.edu.vn                                                                       ,12345048
20210049,Bùi,Thành,Triều,2003-08-02,Phú Thọ                                                                                             ,Nữ        ,40204010049,trieu.bui210049@sis.hust.edu.vn                                                                     ,12345049
20210050,Bùi,Thành,Quế,2003-05-22,Bắc Kạn                                                                                             ,Nam       ,40204010050,que.bui210050@sis.hust.edu.vn                                                                       ,12345050
20220001,Hoàng,Hồng,Diệp,2003-12-20,Ninh Bình                                                                                           ,Nữ        ,40204010051,diep.hoang220001@sis.hust.edu.vn                                                                    ,12345051
20220002,Nguyễn,Văn,Hạnh,2003-09-26,Ninh Bình                                                                                           ,Nam       ,40204010052,hanh.nguyen220002@sis.hust.edu.vn                                                                   ,12345052
20220003,Phạm,Đức,Diên,2003-04-07,Hưng Yên                                                                                            ,Nữ        ,40204010053,dien.pham220003@sis.hust.edu.vn                                                                     ,12345053
20220004,Lý,Thành,Dao,2003-04-26,Quảng Trị                                                                                           ,Nam       ,40204010054,dao.ly220004@sis.hust.edu.vn                                                                        ,12345054
20220005,Bùi,Tâm,Dung,2003-01-18,Nam Định                                                                                            ,Nữ        ,40204010055,dung.bui220005@sis.hust.edu.vn                                                                      ,12345055
20220006,Nguyễn,Đức,Nhạn,2003-12-07,Nam Định                                                                                            ,Nam       ,40204010056,nhan.nguyen220006@sis.hust.edu.vn                                                                   ,12345056
20220007,Bùi,Hồng,Bội,2003-08-10,Hải Dương                                                                                           ,Nam       ,40204010057,boi.bui220007@sis.hust.edu.vn                                                                       ,12345057
20220008,Lê,Thu,Hoa,2003-09-21,Thái Bình                                                                                           ,Nữ        ,40204010058,hoa.le220008@sis.hust.edu.vn                                                                        ,12345058
20220009,Nguyễn,Thành,Khuyên,2003-10-01,Thanh Hóa                                                                                           ,Nữ        ,40204010059,khuyen.nguyen220009@sis.hust.edu.vn                                                                 ,12345059
20220010,Đặng,Văn,Hồ,2003-12-12,Hải Dương                                                                                           ,Nam       ,40204010060,ho.dang220010@sis.hust.edu.vn                                                                       ,12345060
20220011,Trần,Đức,Thúy,2003-01-04,Bắc Giang                                                                                           ,Nam       ,40204010061,thuy.tran220011@sis.hust.edu.vn                                                                     ,12345061
20220012,Vũ,Lan,Mai,2003-10-25,Quảng Ngãi                                                                                          ,Nữ        ,40204010062,mai.vu220012@sis.hust.edu.vn                                                                        ,12345062
20220013,Đinh,Thành,Hương,2003-12-08,Lai Châu                                                                                            ,Nữ        ,40204010063,huong.dinh220013@sis.hust.edu.vn                                                                    ,12345063
20220014,Đặng,Hải,Phương,2003-05-18,Thái Nguyên                                                                                         ,Nam       ,40204010064,phuong.dang220014@sis.hust.edu.vn                                                                   ,12345064
20220015,Trần,Bình,Hạc,2003-08-28,Hải Phòng                                                                                           ,Nữ        ,40204010065,hac.tran220015@sis.hust.edu.vn                                                                      ,12345065
20220016,Lý,Duy,Hiệp,2003-04-12,Ninh Thuận                                                                                          ,Nữ        ,40204010066,hiep.ly220016@sis.hust.edu.vn                                                                       ,12345066
20220017,Đặng,Hồng,Ngọc,2003-11-07,Quảng Ninh                                                                                          ,Nam       ,40204010067,ngoc.dang220017@sis.hust.edu.vn                                                                     ,12345067
20220018,Lê,Hồng,Mỹ,2003-05-05,Quảng Ngãi                                                                                          ,Nữ        ,40204010068,my.le220018@sis.hust.edu.vn                                                                         ,12345068
20220019,Trần,Đức,Sơn,2003-01-16,Bắc Ninh                                                                                            ,Nữ        ,40204010069,son.tran220019@sis.hust.edu.vn                                                                      ,12345069
20220020,Hoàng,Quỳnh,Thi,2003-08-02,Hoà Bình                                                                                            ,Nữ        ,40204010070,thi.hoang220020@sis.hust.edu.vn                                                                     ,12345070
20220021,Vũ,Lan,Thuần,2003-01-28,Vĩnh Phúc                                                                                           ,Nữ        ,40204010071,thuan.vu220021@sis.hust.edu.vn                                                                      ,12345071
20220022,Đỗ,Minh,Anh,2003-01-02,Thanh Hóa                                                                                           ,Nữ        ,40204010072,anh.do220022@sis.hust.edu.vn                                                                        ,12345072
20220023,Lý,Quỳnh,Băng,2003-01-14,Bình Định                                                                                           ,Nữ        ,40204010073,bang.ly220023@sis.hust.edu.vn                                                                       ,12345073
20220024,Huỳnh,Hải,Giang,2003-12-24,Yên Bái                                                                                             ,Nữ        ,40204010074,giang.huynh220024@sis.hust.edu.vn                                                                   ,12345074
20220025,Dương,Tâm,Bằng,2003-09-08,Lào Cai                                                                                             ,Nam       ,40204010075,bang.duong220025@sis.hust.edu.vn                                                                    ,12345075
20220026,Phan,Hồng,Thư,2003-12-18,Quảng Ninh                                                                                          ,Nam       ,40204010076,thu.phan220026@sis.hust.edu.vn                                                                      ,12345076
20220027,Dương,Bình,Hảo,2003-10-10,Hoà Bình                                                                                            ,Nam       ,40204010077,hao.duong220027@sis.hust.edu.vn                                                                     ,12345077
20220028,Trần,Minh,Trúc,2003-12-10,Tuyên Quang                                                                                         ,Nữ        ,40204010078,truc.tran220028@sis.hust.edu.vn                                                                     ,12345078
20220029,Hồ,Lan,Quân,2003-06-22,Sơn La                                                                                              ,Nữ        ,40204010079,quan.ho220029@sis.hust.edu.vn                                                                       ,12345079
20220030,Trần,Hồng,Hiền,2003-05-22,Bắc Ninh                                                                                            ,Nam       ,40204010080,hien.tran220030@sis.hust.edu.vn                                                                     ,12345080
20220031,Phan,Thu,Thiên,2003-10-17,Tuyên Quang                                                                                         ,Nữ        ,40204010081,thien.phan220031@sis.hust.edu.vn                                                                    ,12345081
20220032,Ngô,Quỳnh,Thường,2003-04-06,Khánh Hòa                                                                                           ,Nam       ,40204010082,thuong.ngo220032@sis.hust.edu.vn                                                                    ,12345082
20220033,Đặng,Văn,Bội,2003-02-20,Hà Nội                                                                                              ,Nam       ,40204010083,boi.dang220033@sis.hust.edu.vn                                                                      ,12345083
20220034,Đỗ,Tâm,Phượng,2003-08-21,Hà Nam                                                                                              ,Nữ        ,40204010084,phuong.do220034@sis.hust.edu.vn                                                                     ,12345084
20220035,Bùi,Hồng,Cúc,2003-05-16,Vĩnh Phúc                                                                                           ,Nam       ,40204010085,cuc.bui220035@sis.hust.edu.vn                                                                       ,12345085
20220036,Bùi,Hồng,Thông,2003-06-20,Ninh Bình                                                                                           ,Nữ        ,40204010086,thong.bui220036@sis.hust.edu.vn                                                                     ,12345086
20220037,Lý,Đức,Quỳnh,2003-04-20,Bắc Ninh                                                                                            ,Nữ        ,40204010087,quynh.ly220037@sis.hust.edu.vn                                                                      ,12345087
20220038,Phan,Duy,Gia,2003-09-08,Quảng Bình                                                                                          ,Nữ        ,40204010088,gia.phan220038@sis.hust.edu.vn                                                                      ,12345088
20220039,Võ,Thu,Hường,2003-03-27,Quảng Ninh                                                                                          ,Nam       ,40204010089,huong.vo220039@sis.hust.edu.vn                                                                      ,12345089
20220040,Hồ,Đức,Bích,2003-02-18,Nghệ An                                                                                             ,Nam       ,40204010090,bich.ho220040@sis.hust.edu.vn                                                                       ,12345090
20220041,Đinh,Quỳnh,Song,2003-12-12,Lai Châu                                                                                            ,Nam       ,40204010091,song.dinh220041@sis.hust.edu.vn                                                                     ,12345091
20220042,Dương,Bình,Thạch,2003-12-27,Hà Giang                                                                                            ,Nữ        ,40204010092,thach.duong220042@sis.hust.edu.vn                                                                   ,12345092
20220043,Nguyễn,Đức,Anh,2003-07-23,Lạng Sơn                                                                                            ,Nữ        ,40204010093,anh.nguyen220043@sis.hust.edu.vn                                                                    ,12345093
20220044,Đặng,Hải,Phương,2003-02-06,Bình Định                                                                                           ,Nam       ,40204010094,phuong.dang220044@sis.hust.edu.vn                                                                   ,12345094
20220045,Hoàng,Lan,Nhật,2003-02-16,Quảng Ngãi                                                                                          ,Nam       ,40204010095,nhat.hoang220045@sis.hust.edu.vn                                                                    ,12345095
20220046,Nguyễn,Hải,Hằng,2003-01-06,Thanh Hóa                                                                                           ,Nữ        ,40204010096,hang.nguyen220046@sis.hust.edu.vn                                                                   ,12345096
20220047,Nguyễn,Thị,Mẫn,2003-09-03,Ninh Bình                                                                                           ,Nam       ,40204010097,man.nguyen220047@sis.hust.edu.vn                                                                    ,12345097
20220048,Trần,Hồng,Hân,2003-06-11,Bắc Giang                                                                                           ,Nam       ,40204010098,han.tran220048@sis.hust.edu.vn                                                                      ,12345098
20220049,Vũ,Bình,Thi,2003-07-19,Lạng Sơn                                                                                            ,Nam       ,40204010099,thi.vu220049@sis.hust.edu.vn                                                                        ,12345099
20220050,Dương,Bình,Hiểu,2003-10-07,Lào Cai                                                                                             ,Nữ        ,40204010100,hieu.duong220050@sis.hust.edu.vn                                                                    ,12345100
20220051,Ngô,Quỳnh,Nhung,2003-12-21,Đà Nẵng                                                                                             ,Nữ        ,40204010101,nhung.ngo220051@sis.hust.edu.vn                                                                     ,12345101
20220052,Đỗ,Hải,Linh,2003-08-13,Hà Giang                                                                                            ,Nữ        ,40204010102,linh.do220052@sis.hust.edu.vn                                                                       ,12345102
20220053,Lý,Minh,Tiên,2003-02-06,Bình Định                                                                                           ,Nữ        ,40204010103,tien.ly220053@sis.hust.edu.vn                                                                       ,12345103
20220054,Đặng,Quỳnh,Hồng,2003-07-10,Bình Định                                                                                           ,Nữ        ,40204010104,hong.dang220054@sis.hust.edu.vn                                                                     ,12345104
20220055,Lý,Quỳnh,Chinh,2003-12-03,Nghệ An                                                                                             ,Nữ        ,40204010105,chinh.ly220055@sis.hust.edu.vn                                                                      ,12345105
20220056,Dương,Thu,Diệu,2003-06-19,Khánh Hòa                                                                                           ,Nam       ,40204010106,dieu.duong220056@sis.hust.edu.vn                                                                    ,12345106
20220057,Phan,Hồng,Thoại,2003-11-15,Lạng Sơn                                                                                            ,Nữ        ,40204010107,thoai.phan220057@sis.hust.edu.vn                                                                    ,12345107
20220058,Huỳnh,Duy,Khuyên,2003-08-08,Lạng Sơn                                                                                            ,Nữ        ,40204010108,khuyen.huynh220058@sis.hust.edu.vn                                                                  ,12345108
20220059,Võ,Thu,Khai,2003-01-12,Nam Định                                                                                            ,Nam       ,40204010109,khai.vo220059@sis.hust.edu.vn                                                                       ,12345109
20220060,Hoàng,Minh,Khôi,2003-10-13,Khánh Hòa                                                                                           ,Nam       ,40204010110,khoi.hoang220060@sis.hust.edu.vn                                                                    ,12345110
20220061,Hoàng,Thu,Nhiên,2003-03-07,Nghệ An                                                                                             ,Nữ        ,40204010111,nhien.hoang220061@sis.hust.edu.vn                                                                   ,12345111
20220062,Phan,Hải,Hiệp,2003-05-25,Thanh Hóa                                                                                           ,Nữ        ,40204010112,hiep.phan220062@sis.hust.edu.vn                                                                     ,12345112
20220063,Đỗ,Đức,Mộng,2003-01-03,Thanh Hóa                                                                                           ,Nữ        ,40204010113,mong.do220063@sis.hust.edu.vn                                                                       ,12345113
20220064,Đặng,Duy,Trầm,2003-11-23,Hà Nội                                                                                              ,Nữ        ,40204010114,tram.dang220064@sis.hust.edu.vn                                                                     ,12345114
20220065,Hồ,Lan,Minh,2003-10-13,Hải Dương                                                                                           ,Nam       ,40204010115,minh.ho220065@sis.hust.edu.vn                                                                       ,12345115
20220066,Hồ,Văn,Thoa,2003-01-27,Hà Nội                                                                                              ,Nam       ,40204010116,thoa.ho220066@sis.hust.edu.vn                                                                       ,12345116
20220067,Đinh,Duy,Ngọc,2003-11-21,Bắc Ninh                                                                                            ,Nam       ,40204010117,ngoc.dinh220067@sis.hust.edu.vn                                                                     ,12345117
20220068,Ngô,Văn,Thanh,2003-04-13,Hà Nội                                                                                              ,Nam       ,40204010118,thanh.ngo220068@sis.hust.edu.vn                                                                     ,12345118
20220069,Hoàng,Bình,Thuận,2003-04-18,Vĩnh Phúc                                                                                           ,Nam       ,40204010119,thuan.hoang220069@sis.hust.edu.vn                                                                   ,12345119
20220070,Hoàng,Lan,Châu,2003-01-08,Hải Dương                                                                                           ,Nữ        ,40204010120,chau.hoang220070@sis.hust.edu.vn                                                                    ,12345120
20220071,Trần,Thu,Thuần,2003-11-19,Hoà Bình                                                                                            ,Nữ        ,40204010121,thuan.tran220071@sis.hust.edu.vn                                                                    ,12345121
20220072,Vũ,Thị,Song,2003-12-07,Bắc Kạn                                                                                             ,Nam       ,40204010122,song.vu220072@sis.hust.edu.vn                                                                       ,12345122
20220073,Phan,Hải,Lê,2003-03-27,Hà Tĩnh                                                                                             ,Nam       ,40204010123,le.phan220073@sis.hust.edu.vn                                                                       ,12345123
20220074,Đỗ,Thị,Lợi,2003-11-13,Hải Phòng                                                                                           ,Nam       ,40204010124,loi.do220074@sis.hust.edu.vn                                                                        ,12345124
20220075,Vũ,Thành,Thắm,2003-08-13,Quảng Bình                                                                                          ,Nam       ,40204010125,tham.vu220075@sis.hust.edu.vn                                                                       ,12345125
20220076,Lý,Quỳnh,Phúc,2003-06-28,Quảng Bình                                                                                          ,Nữ        ,40204010126,phuc.ly220076@sis.hust.edu.vn                                                                       ,12345126
20220077,Phan,Bình,Lục,2003-06-18,Nghệ An                                                                                             ,Nữ        ,40204010127,luc.phan220077@sis.hust.edu.vn                                                                      ,12345127
20220078,Lý,Hải,Khê,2003-07-07,Quảng Trị                                                                                           ,Nam       ,40204010128,khe.ly220078@sis.hust.edu.vn                                                                        ,12345128
20220079,Lê,Đức,Hiệp,2003-02-17,Thanh Hóa                                                                                           ,Nam       ,40204010129,hiep.le220079@sis.hust.edu.vn                                                                       ,12345129
20220080,Huỳnh,Đức,Mậu,2003-03-26,Thanh Hóa                                                                                           ,Nữ        ,40204010130,mau.huynh220080@sis.hust.edu.vn                                                                     ,12345130
20220081,Trần,Hải,Hoan,2003-02-09,Hưng Yên                                                                                            ,Nữ        ,40204010131,hoan.tran220081@sis.hust.edu.vn                                                                     ,12345131
20220082,Bùi,Văn,Duyên,2003-12-22,Bình Thuận                                                                                          ,Nam       ,40204010132,duyen.bui220082@sis.hust.edu.vn                                                                     ,12345132
20220083,Lê,Đức,Hằng,2003-12-27,Bình Định                                                                                           ,Nữ        ,40204010133,hang.le220083@sis.hust.edu.vn                                                                       ,12345133
20220084,Vũ,Bình,Hân,2003-03-04,Lạng Sơn                                                                                            ,Nam       ,40204010134,han.vu220084@sis.hust.edu.vn                                                                        ,12345134
20220085,Lê,Văn,Hoạ,2003-06-18,Thanh Hóa                                                                                           ,Nam       ,40204010135,hoa.le220085@sis.hust.edu.vn                                                                        ,12345135
20220086,Lý,Lan,Phúc,2003-03-09,Phú Thọ                                                                                             ,Nữ        ,40204010136,phuc.ly220086@sis.hust.edu.vn                                                                       ,12345136
20220087,Lê,Hải,Bình,2003-04-16,Quảng Ngãi                                                                                          ,Nam       ,40204010137,binh.le220087@sis.hust.edu.vn                                                                       ,12345137
20220088,Hồ,Đức,Quyên,2003-01-06,Cao Bằng                                                                                            ,Nam       ,40204010138,quyen.ho220088@sis.hust.edu.vn                                                                      ,12345138
20220089,Đỗ,Đức,Bạch,2003-04-16,Vĩnh Phúc                                                                                           ,Nam       ,40204010139,bach.do220089@sis.hust.edu.vn                                                                       ,12345139
20220090,Phạm,Duy,Ca,2003-11-18,Ninh Bình                                                                                           ,Nam       ,40204010140,ca.pham220090@sis.hust.edu.vn                                                                       ,12345140
20220091,Hoàng,Minh,Triều,2003-12-08,Sơn La                                                                                              ,Nữ        ,40204010141,trieu.hoang220091@sis.hust.edu.vn                                                                   ,12345141
20220092,Lý,Bình,Kỳ,2003-04-15,Lào Cai                                                                                             ,Nam       ,40204010142,ky.ly220092@sis.hust.edu.vn                                                                         ,12345142
20220093,Vũ,Lan,Sa,2003-07-27,Bắc Giang                                                                                           ,Nam       ,40204010143,sa.vu220093@sis.hust.edu.vn                                                                         ,12345143
20220094,Đặng,Thị,Chung,2003-05-15,Khánh Hòa                                                                                           ,Nam       ,40204010144,chung.dang220094@sis.hust.edu.vn                                                                    ,12345144
20220095,Dương,Văn,Dung,2003-07-08,Ninh Thuận                                                                                          ,Nữ        ,40204010145,dung.duong220095@sis.hust.edu.vn                                                                    ,12345145
20220096,Trần,Quỳnh,Thơ,2003-08-23,Hà Giang                                                                                            ,Nam       ,40204010146,tho.tran220096@sis.hust.edu.vn                                                                      ,12345146
20220097,Phan,Lan,Tuyến,2003-12-15,Hà Giang                                                                                            ,Nữ        ,40204010147,tuyen.phan220097@sis.hust.edu.vn                                                                    ,12345147
20220098,Ngô,Hồng,Linh,2003-11-01,Hải Phòng                                                                                           ,Nam       ,40204010148,linh.ngo220098@sis.hust.edu.vn                                                                      ,12345148
20220099,Võ,Đức,Triệu,2003-03-17,Lào Cai                                                                                             ,Nam       ,40204010149,trieu.vo220099@sis.hust.edu.vn                                                                      ,12345149
20220100,Đỗ,Đức,Kiết,2003-07-07,Ninh Thuận                                                                                          ,Nữ        ,40204010150,kiet.do220100@sis.hust.edu.vn                                                                       ,12345150
20220101,Đặng,Hải,Lan,2003-02-27,Bình Định                                                                                           ,Nữ        ,40204010151,lan.dang220101@sis.hust.edu.vn                                                                      ,12345151
20220102,Đinh,Quỳnh,Hàm,2003-05-10,Ninh Thuận                                                                                          ,Nam       ,40204010152,ham.dinh220102@sis.hust.edu.vn                                                                      ,12345152
20220103,Đặng,Văn,Minh,2003-12-08,Tuyên Quang                                                                                         ,Nam       ,40204010153,minh.dang220103@sis.hust.edu.vn                                                                     ,12345153
20220104,Lý,Thành,Trâm,2003-05-18,Đà Nẵng                                                                                             ,Nữ        ,40204010154,tram.ly220104@sis.hust.edu.vn                                                                       ,12345154
20220105,Hoàng,Hồng,Kê,2003-02-20,Yên Bái                                                                                             ,Nam       ,40204010155,ke.hoang220105@sis.hust.edu.vn                                                                      ,12345155
20220106,Hoàng,Hải,Phước,2003-06-26,Bình Thuận                                                                                          ,Nam       ,40204010156,phuoc.hoang220106@sis.hust.edu.vn                                                                   ,12345156
20220107,Trần,Thu,Ngà,2003-11-13,Thái Bình                                                                                           ,Nam       ,40204010157,nga.tran220107@sis.hust.edu.vn                                                                      ,12345157
20220108,Bùi,Quỳnh,Chung,2003-05-13,Tuyên Quang                                                                                         ,Nữ        ,40204010158,chung.bui220108@sis.hust.edu.vn                                                                     ,12345158
20220109,Hồ,Bình,Thoại,2003-06-05,Hà Giang                                                                                            ,Nam       ,40204010159,thoai.ho220109@sis.hust.edu.vn                                                                      ,12345159
20220110,Hồ,Hồng,Bình,2003-07-19,Thanh Hóa                                                                                           ,Nữ        ,40204010160,binh.ho220110@sis.hust.edu.vn                                                                       ,12345160
20220111,Trần,Thu,Duyên,2003-05-05,Bắc Giang                                                                                           ,Nữ        ,40204010161,duyen.tran220111@sis.hust.edu.vn                                                                    ,12345161
20220112,Võ,Lan,Quyên,2003-06-22,Yên Bái                                                                                             ,Nữ        ,40204010162,quyen.vo220112@sis.hust.edu.vn                                                                      ,12345162
20220113,Dương,Duy,Nhân,2003-12-21,Bình Thuận                                                                                          ,Nữ        ,40204010163,nhan.duong220113@sis.hust.edu.vn                                                                    ,12345163
20220114,Phạm,Thị,Thanh,2003-12-22,Phú Yên                                                                                             ,Nữ        ,40204010164,thanh.pham220114@sis.hust.edu.vn                                                                    ,12345164
20220115,Lý,Văn,Hằng,2003-02-04,Tuyên Quang                                                                                         ,Nữ        ,40204010165,hang.ly220115@sis.hust.edu.vn                                                                       ,12345165
20220116,Ngô,Lan,Cương,2003-04-28,Hải Phòng                                                                                           ,Nữ        ,40204010166,cuong.ngo220116@sis.hust.edu.vn                                                                     ,12345166
20220117,Đỗ,Hải,Thiện,2003-11-19,Hoà Bình                                                                                            ,Nam       ,40204010167,thien.do220117@sis.hust.edu.vn                                                                      ,12345167
20220118,Lý,Hải,Minh,2003-03-16,Thái Bình                                                                                           ,Nam       ,40204010168,minh.ly220118@sis.hust.edu.vn                                                                       ,12345168
20220119,Phạm,Đức,Phượng,2003-08-05,Yên Bái                                                                                             ,Nam       ,40204010169,phuong.pham220119@sis.hust.edu.vn                                                                   ,12345169
