MaSV,HoSV,TenDemSV,TenSV,NgaySinh,DiaDiem,GioiTinh,CCCD,Email,SDT
20220122,Võ,Văn,Thiện,5/16/2003,Thanh Hóa                                                                                           ,Nam       ,40204010172,,12345172
20220123,Lý,Bình,Nương,7/6/2003,Lạng Sơn                                                                                            ,Nữ        ,40204010173,,12345173
20220124,Huỳnh,Hải,Lục,5/28/2003,Hoà Bình                                                                                            ,Nữ        ,40204010174,,12345174
20220125,Võ,Hồng,Thủy,4/16/2003,Quảng Nam                                                                                           ,Nam       ,40204010175,,12345175
20220126,Hoàng,Bình,Họa,12/24/2003,Thừa Thiên Huế                                                                                      ,Nam       ,40204010176,,12345176
20220127,Lê,Lan,Mẫn,11/21/2003,Quảng Nam                                                                                           ,Nam       ,40204010177,,12345177
20220128,Ngô,Văn,Mai,7/18/2003,Quảng Trị                                                                                           ,Nam       ,40204010178,,12345178
20220129,Hoàng,Bình,Mỹ,9/4/2003,Điện Biên                                                                                           ,Nữ        ,40204010179,,12345179
20220130,Lê,Quỳnh,Hà,2/20/2003,Nam Định                                                                                            ,Nam       ,40204010180,,12345180
20220131,Lý,Thu,Lợi,2/22/2003,Lạng Sơn                                                                                            ,Nam       ,40204010181,,12345181
20220132,Ngô,Bình,My,7/21/2003,Quảng Nam                                                                                           ,Nam       ,40204010182,,12345182
20220133,Vũ,Quỳnh,Phong,2/22/2003,Phú Yên                                                                                             ,Nữ        ,40204010183,,12345183
20220134,Hoàng,Văn,Hường,10/12/2003,Hưng Yên                                                                                            ,Nữ        ,40204010184,,12345184
20220135,Lý,Hải,Ngân,3/13/2003,Quảng Bình                                                                                          ,Nữ        ,40204010185,,12345185
20220136,Ngô,Lan,Nghi,9/22/2003,Tuyên Quang                                                                                         ,Nam       ,40204010186,,12345186
20220137,Lý,Đức,Lan,5/5/2003,Thừa Thiên Huế                                                                                      ,Nữ        ,40204010187,,12345187
20220138,Dương,Minh,Phi,4/20/2003,Cao Bằng                                                                                            ,Nam       ,40204010188,,12345188
20220139,Đỗ,Đức,Thương,7/28/2003,Bình Định                                                                                           ,Nữ        ,40204010189,,12345189
20220140,Lý,Thành,Song,7/25/2003,Sơn La                                                                                              ,Nam       ,40204010190,,12345190
20220141,Vũ,Quỳnh,Thoa,3/17/2003,Lào Cai                                                                                             ,Nữ        ,40204010191,,12345191
20220142,Nguyễn,Thị,Nhiên,10/18/2003,Lai Châu                                                                                            ,Nam       ,40204010192,,12345192
20220143,Võ,Văn,Châu,4/15/2003,Vĩnh Phúc                                                                                           ,Nữ        ,40204010193,,12345193
20220144,Vũ,Lan,Lục,10/24/2003,Lai Châu                                                                                            ,Nữ        ,40204010194,,12345194
20220145,Nguyễn,Hải,Nhiên,3/16/2003,Thái Nguyên                                                                                         ,Nam       ,40204010195,,12345195
20220146,Lý,Minh,Miên,5/4/2003,Lạng Sơn                                                                                            ,Nam       ,40204010196,,12345196
20220147,Huỳnh,Hồng,Ly,1/2/2003,Sơn La                                                                                              ,Nữ        ,40204010197,,12345197
20220148,Lý,Hải,Mai,2/27/2003,Quảng Ninh                                                                                          ,Nữ        ,40204010198,,12345198
20220149,Huỳnh,Duy,Họa,9/3/2003,Hải Dương                                                                                           ,Nam       ,40204010199,,12345199
20220150,Trần,Văn,Cát,4/21/2003,Lạng Sơn                                                                                            ,Nam       ,40204010200,,12345200
20220151,Dương,Văn,Thường,5/9/2003,Nam Định                                                                                            ,Nam       ,40204010201,,12345201
20220152,Ngô,Lan,Ban,10/26/2003,Quảng Bình                                                                                          ,Nữ        ,40204010202,,12345202
20220153,Đặng,Thành,Trầm,2/21/2003,Thừa Thiên Huế                                                                                      ,Nam       ,40204010203,,12345203
20220154,Hoàng,Quỳnh,Nhân,11/4/2003,Đà Nẵng                                                                                             ,Nữ        ,40204010204,,12345204
20220155,Phan,Hải,Lăng,6/10/2003,Lạng Sơn                                                                                            ,Nữ        ,40204010205,,12345205
20220156,Dương,Quỳnh,Khanh,12/2/2003,Hà Nam                                                                                              ,Nam       ,40204010206,,12345206
20220157,Phan,Quỳnh,Trầm,9/26/2003,Điện Biên                                                                                           ,Nữ        ,40204010207,,12345207
20220158,Nguyễn,Văn,Dạ,7/11/2003,Thái Bình                                                                                           ,Nam       ,40204010208,,12345208
20220159,Hoàng,Duy,Gia,2/16/2003,Đà Nẵng                                                                                             ,Nam       ,40204010209,,12345209
20220160,Đỗ,Hồng,Linh,12/4/2003,Hà Nam                                                                                              ,Nam       ,40204010210,,12345210
20220161,Đỗ,Tâm,Bội,3/7/2003,Hải Dương                                                                                           ,Nam       ,40204010211,,12345211
20220162,Hoàng,Tâm,Ngân,9/20/2003,Hà Giang                                                                                            ,Nữ        ,40204010212,,12345212
20220163,Lê,Thành,Thục,4/10/2003,Bình Định                                                                                           ,Nam       ,40204010213,,12345213
20220164,Nguyễn,Duy,Cương,9/25/2003,Quảng Trị                                                                                           ,Nam       ,40204010214,,12345214
20220165,Nguyễn,Hải,Chiêu,9/3/2003,Điện Biên                                                                                           ,Nữ        ,40204010215,,12345215
20220166,Lê,Thành,Hồng,7/19/2003,Nghệ An                                                                                             ,Nữ        ,40204010216,,12345216
20220167,Bùi,Duy,Linh,10/24/2003,Cao Bằng                                                                                            ,Nam       ,40204010217,,12345217
20220168,Huỳnh,Hải,Chi,9/24/2003,Lào Cai                                                                                             ,Nữ        ,40204010218,,12345218
20220169,Bùi,Thị,Cam,4/28/2003,Quảng Ngãi                                                                                          ,Nữ        ,40204010219,,12345219
20220170,Đinh,Duy,Thảo,10/25/2003,Lào Cai                                                                                             ,Nữ        ,40204010220,,12345220
20220171,Phan,Minh,Duy,2/17/2003,Phú Yên                                                                                             ,Nam       ,40204010221,,12345221
20220172,Đỗ,Thành,Nga,6/4/2003,Hải Dương                                                                                           ,Nữ        ,40204010222,,12345222
20220173,Đỗ,Bình,Nhật,12/4/2003,Quảng Nam                                                                                           ,Nam       ,40204010223,,12345223
20220174,Bùi,Minh,Quế,3/21/2003,Ninh Thuận                                                                                          ,Nam       ,40204010224,,12345224
20220175,Lê,Văn,Hương,5/23/2003,Phú Thọ                                                                                             ,Nam       ,40204010225,,12345225
20220176,Đỗ,Hải,Ngọc,7/18/2003,Bình Định                                                                                           ,Nam       ,40204010226,,12345226
20220177,Dương,Bình,Trang,9/8/2003,Tuyên Quang                                                                                         ,Nữ        ,40204010227,,12345227
20220178,Phan,Thu,Nguyệt,12/13/2003,Khánh Hòa                                                                                           ,Nam       ,40204010228,,12345228
20220179,Ngô,Thu,Cúc,8/8/2003,Thanh Hóa                                                                                           ,Nam       ,40204010229,,12345229
20220180,Lý,Bình,Minh,11/19/2003,Quảng Trị                                                                                           ,Nữ        ,40204010230,,12345230
20220181,Đinh,Bình,Hiểu,3/18/2003,Quảng Bình                                                                                          ,Nữ        ,40204010231,,12345231
20220182,Trần,Đức,Dạ,10/3/2003,Sơn La                                                                                              ,Nữ        ,40204010232,,12345232
20220183,Bùi,Lan,Hòa,10/5/2003,Phú Yên                                                                                             ,Nữ        ,40204010233,,12345233
20220184,Huỳnh,Đức,Mỹ,9/19/2003,Hà Tĩnh                                                                                             ,Nữ        ,40204010234,,12345234
20220185,Bùi,Lan,An,3/24/2003,Ninh Thuận                                                                                          ,Nữ        ,40204010235,,12345235
20220186,Lê,Văn,Khai,1/20/2003,Bình Định                                                                                           ,Nữ        ,40204010236,,12345236
20220187,Nguyễn,Thị,Lâm,4/13/2003,Hoà Bình                                                                                            ,Nam       ,40204010237,,12345237
20220188,Đặng,Quỳnh,Diên,6/18/2003,Ninh Bình                                                                                           ,Nam       ,40204010238,,12345238
20220189,Lý,Minh,Di,5/3/2003,Tuyên Quang                                                                                         ,Nam       ,40204010239,,12345239
20220190,Lý,Quỳnh,Hường,3/11/2003,Bắc Ninh                                                                                            ,Nữ        ,40204010240,,12345240
20220191,Đinh,Đức,Kim,3/20/2003,Lào Cai                                                                                             ,Nữ        ,40204010241,,12345241
20220192,Bùi,Thành,Diễm,2/23/2003,Lạng Sơn                                                                                            ,Nam       ,40204010242,,12345242
20220193,Nguyễn,Lan,Cúc,2/25/2003,Sơn La                                                                                              ,Nam       ,40204010243,,12345243
20220194,Huỳnh,Bình,Khê,6/23/2003,Nghệ An                                                                                             ,Nữ        ,40204010244,,12345244
20220195,Lý,Thị,Huệ,4/21/2003,Ninh Thuận                                                                                          ,Nữ        ,40204010245,,12345245
